experiment,game,method,seed,success,restarts,final_reward_mean
restart,ipd,standard_pg,8,0,12,11.815683181133133
restart,ipd,standard_pg,9,1,1,28.85282307932568
restart,ipd,standard_pg,10,1,12,28.898213215981627
restart,ipd,standard_pg,11,1,0,28.87586048186487
restart,ipd,standard_pg,12,0,12,9.815430159264626
restart,ipd,standard_pg,13,0,12,9.856422995552382
restart,ipd,standard_pg,14,0,12,9.858424227004495
restart,ipd,standard_pg,15,0,12,10.040781824262602
restart,ipd,standard_pg,16,1,4,28.87297270196757
restart,ipd,standard_pg,17,1,10,28.911782794799436
restart,ipd,standard_pg,18,1,9,28.896994333139368
restart,ipd,standard_pg,19,1,9,28.892853072372716
restart,ipd,standard_pg,20,0,12,9.916481878071515
restart,ipd,standard_pg,21,0,12,22.75011231669985
restart,ipd,standard_pg,22,0,12,9.930362890104195
restart,ipd,standard_pg,23,1,4,28.699718383028948
restart,ipd,standard_pg,24,1,9,28.859345511702003
restart,ipd,standard_pg,25,1,7,28.514828212444115
restart,ipd,standard_pg,26,0,12,19.368215363037205
restart,ipd,standard_pg,27,0,12,9.90235466236574
restart,ipd,standard_pg,28,0,12,9.914119981819246
restart,ipd,standard_pg,29,0,12,9.91267746285655
restart,ipd,standard_pg,30,1,1,28.83203255153394
restart,ipd,standard_pg,31,1,0,28.88193391967762
restart,ipd,standard_pg,32,1,12,28.83001966612081
restart,ipd,standard_pg,33,0,12,15.472214050949875
restart,ipd,standard_pg,34,0,12,9.817334228142773
restart,ipd,standard_pg,35,1,0,28.834351580895653
restart,ipd,standard_pg,36,0,12,9.895856977316743
restart,ipd,standard_pg,37,1,11,28.885248106189927
restart,ipd,standard_pg,38,1,3,28.7452592017084
restart,ipd,standard_pg,39,1,0,28.515963240244588
restart,ipd,standard_pg,40,0,12,9.90364735502259
restart,ipd,standard_pg,41,1,2,28.880116209598782
restart,ipd,standard_pg,42,1,7,28.269255938124964
restart,ipd,standard_pg,43,1,10,28.504500382948127
restart,ipd,standard_pg,44,1,6,28.895831622064662
restart,ipd,standard_pg,45,1,8,28.87359341551937
restart,ipd,standard_pg,46,0,12,9.947031992854452
restart,ipd,standard_pg,47,1,8,28.817421858613862
restart,ipd,standard_pg,48,0,12,9.844040444610272
restart,ipd,standard_pg,49,0,12,10.113466080531767
restart,ipd,standard_pg,50,0,12,10.015084459273245
restart,ipd,standard_pg,51,0,12,10.066540282593397
restart,ipd,standard_pg,52,0,12,9.856555576960496
restart,ipd,standard_pg,53,1,3,28.85925662640348
restart,ipd,standard_pg,54,0,12,9.891320379485471
restart,ipd,standard_pg,55,1,10,28.804650195264095
restart,ipd,standard_pg,56,1,2,28.753354180348996
restart,ipd,standard_pg,57,1,9,22.87223078416865
restart,ipd,standard_pg,58,1,6,28.824921281198712
restart,ipd,standard_pg,59,1,6,28.71859640284672
restart,ipd,standard_pg,60,1,9,28.72053110911459
