experiment,game,method,seed,budget,best_welfare,welfare_gap,cumulative_welfare_gap,payoff_dominant_found,first_hit_budget
restart_selection,stag_hunt,standard_pg,14,3,3.9756359185155827,4.024364081484418,12.082871241231068,0,13
restart_selection,stag_hunt,standard_pg,14,4,3.9756359185155827,4.024364081484418,16.107235322715486,0,13
restart_selection,stag_hunt,standard_pg,14,5,7.691187732656447,0.30881226734355316,16.416047590059037,1,5
restart_selection,stag_hunt,standard_pg,14,6,7.691187732656447,0.30881226734355316,16.724859857402592,1,5
restart_selection,stag_hunt,standard_pg,14,7,7.691187732656447,0.30881226734355316,17.033672124746147,1,5
restart_selection,stag_hunt,standard_pg,14,8,7.6958593935437865,0.30414060645621355,17.337812731202362,1,5
restart_selection,stag_hunt,standard_pg,14,9,7.6958593935437865,0.30414060645621355,17.641953337658578,1,5
restart_selection,stag_hunt,standard_pg,14,10,7.6958593935437865,0.30414060645621355,17.946093944114793,1,5
restart_selection,stag_hunt,standard_pg,14,11,7.6958593935437865,0.30414060645621355,18.250234550571008,1,5
restart_selection,stag_hunt,standard_pg,14,12,7.703348507436663,0.29665149256333656,18.546886043134343,1,5
restart_selection,stag_hunt,standard_pg,15,1,7.4068469055095125,0.5931530944904875,0.5931530944904875,1,1
restart_selection,stag_hunt,standard_pg,15,2,7.644949418790972,0.3550505812090279,0.9482036756995154,1,1
restart_selection,stag_hunt,standard_pg,15,3,7.644949418790972,0.3550505812090279,1.3032542569085432,1,1
restart_selection,stag_hunt,standard_pg,15,4,7.644949418790972,0.3550505812090279,1.6583048381175711,1,1
restart_selection,stag_hunt,standard_pg,15,5,7.769620760124548,0.23037923987545206,1.8886840779930232,1,1
restart_selection,stag_hunt,standard_pg,15,6,7.769620760124548,0.23037923987545206,2.1190633178684752,1,1
restart_selection,stag_hunt,standard_pg,15,7,7.769620760124548,0.23037923987545206,2.3494425577439273,1,1
restart_selection,stag_hunt,standard_pg,15,8,7.769620760124548,0.23037923987545206,2.5798217976193794,1,1
restart_selection,stag_hunt,standard_pg,15,9,7.769620760124548,0.23037923987545206,2.8102010374948314,1,1
restart_selection,stag_hunt,standard_pg,15,10,7.769620760124548,0.23037923987545206,3.0405802773702835,1,1
restart_selection,stag_hunt,standard_pg,15,11,7.769620760124548,0.23037923987545206,3.2709595172457355,1,1
restart_selection,stag_hunt,standard_pg,15,12,7.769620760124548,0.23037923987545206,3.5013387571211876,1,1
restart_selection,stag_hunt,standard_pg,16,1,3.9762407138130706,4.023759286186929,4.023759286186929,0,13
restart_selection,stag_hunt,standard_pg,16,2,3.9762407138130706,4.023759286186929,8.047518572373859,0,13
restart_selection,stag_hunt,standard_pg,16,3,3.9762407138130706,4.023759286186929,12.071277858560787,0,13
restart_selection,stag_hunt,standard_pg,16,4,3.9766564573162455,4.0233435426837545,16.09462140124454,0,13
restart_selection,stag_hunt,standard_pg,16,5,3.9778700789427317,4.022129921057268,20.11675132230181,0,13
restart_selection,stag_hunt,standard_pg,16,6,3.9778700789427317,4.022129921057268,24.138881243359076,0,13
restart_selection,stag_hunt,standard_pg,16,7,3.9778700789427317,4.022129921057268,28.161011164416344,0,13
restart_selection,stag_hunt,standard_pg,16,8,3.9778700789427317,4.022129921057268,32.183141085473615,0,13
restart_selection,stag_hunt,standard_pg,16,9,3.9778700789427317,4.022129921057268,36.205271006530886,0,13
restart_selection,stag_hunt,standard_pg,16,10,3.9778700789427317,4.022129921057268,40.22740092758816,0,13
restart_selection,stag_hunt,standard_pg,16,11,3.9778700789427317,4.022129921057268,44.24953084864543,0,13
restart_selection,stag_hunt,standard_pg,16,12,3.9778700789427317,4.022129921057268,48.2716607697027,0,13
restart_selection,stag_hunt,standard_pg,17,1,3.9762491651456258,4.023750834854374,4.023750834854374,0,13
restart_selection,stag_hunt,standard_pg,17,2,7.745110395501863,0.25488960449813725,4.278640439352511,1,2
restart_selection,stag_hunt,standard_pg,17,3,7.745110395501863,0.25488960449813725,4.533530043850648,1,2
restart_selection,stag_hunt,standard_pg,17,4,7.745110395501863,0.25488960449813725,4.7884196483487855,1,2
restart_selection,stag_hunt,standard_pg,17,5,7.745110395501863,0.25488960449813725,5.043309252846923,1,2
restart_selection,stag_hunt,standard_pg,17,6,7.745110395501863,0.25488960449813725,5.29819885734506,1,2
restart_selection,stag_hunt,standard_pg,17,7,7.745110395501863,0.25488960449813725,5.553088461843197,1,2
restart_selection,stag_hunt,standard_pg,17,8,7.745110395501863,0.25488960449813725,5.8079780663413345,1,2
