label,method,schedule,seed,final_coop_min,second_half_coop_mean,second_half_coop_std,success,final_lambda
meta_mapg_two_phase,meta_mapg,two_phase,38,0.001371479991677241,0.0017749727939939024,0.0002868893050736905,0,0.08134738151212192
meta_mapg_two_phase,meta_mapg,two_phase,39,0.9968488858644357,0.9959552043278994,0.000661644574855642,1,0.08134738151212192
meta_mapg_two_phase,meta_mapg,two_phase,40,0.0013784033025283078,0.0017851056152749696,0.00028838231167170267,0,0.08134738151212192
meta_mapg_two_phase,meta_mapg,two_phase,41,0.9972987948825719,0.9964886314808291,0.0005005221203898951,1,0.08134738151212192
meta_mapg_two_phase,meta_mapg,two_phase,42,0.0013660461738257768,0.0017655669860405054,0.00028377381034702605,0,0.08134738151212192
meta_mapg_two_phase,meta_mapg,two_phase,43,0.001338604114235765,0.0017190030321595088,0.0002689571190276264,0,0.08134738151212192
meta_mapg_two_phase,meta_mapg,two_phase,44,0.0013952758031062942,0.0018133650584205112,0.00029767522566364756,0,0.08134738151212192
meta_mapg_two_phase,meta_mapg,two_phase,45,0.0013675970014360665,0.0017600659602556178,0.0002782748668989801,0,0.08134738151212192
meta_mapg_two_phase,meta_mapg,two_phase,46,0.9970441177383386,0.9961049640475053,0.0007581107222778809,1,0.08134738151212192
meta_mapg_two_phase,meta_mapg,two_phase,47,0.0013708144731416337,0.0017739336034257238,0.0002866166029917192,0,0.08134738151212192
meta_mapg_two_phase,meta_mapg,two_phase,48,0.9971177477133278,0.9961946787037893,0.000581111775254816,1,0.08134738151212192
meta_mapg_two_phase,meta_mapg,two_phase,49,0.001365358609720542,0.00175932100455488,0.0002816567573187253,0,0.08134738151212192
meta_mapg_two_phase,meta_mapg,two_phase,50,0.00139160535637097,0.0018051464016247843,0.0002928622936523741,0,0.08134738151212192
meta_mapg_two_phase,meta_mapg,two_phase,51,0.9971836906088982,0.9964547693241268,0.0005423140107201088,1,0.08134738151212192
meta_mapg_two_phase,meta_mapg,two_phase,52,0.0013669353173782954,0.0017671753552924098,0.00028438599941892637,0,0.08134738151212192
meta_mapg_two_phase,meta_mapg,two_phase,53,0.0013774146408893839,0.001784627833414423,0.0002892106970252308,0,0.08134738151212192
meta_mapg_two_phase,meta_mapg,two_phase,54,0.0013798617598008156,0.001786895688024902,0.00028888929650681283,0,0.08134738151212192
meta_mapg_two_phase,meta_mapg,two_phase,55,0.0013676288076464578,0.0017684311710395469,0.00028477478153615606,0,0.08134738151212192
meta_mapg_two_phase,meta_mapg,two_phase,56,0.0013482142883959297,0.0017329396522418764,0.0002715043298635367,0,0.08134738151212192
meta_mapg_two_phase,meta_mapg,two_phase,57,0.9969588126343583,0.9960650287925118,0.000601269680798886,1,0.08134738151212192
meta_mapg_two_phase,meta_mapg,two_phase,58,0.0013820430342281046,0.001787463972063485,0.0002897332194537766,0,0.08134738151212192
meta_mapg_two_phase,meta_mapg,two_phase,59,0.0013224965109958058,0.00169188358181598,0.0002604452614755541,0,0.08134738151212192
meta_mapg_two_phase,meta_mapg,two_phase,60,0.996468177176396,0.9952847703249286,0.0008712035396990894,1,0.08134738151212192
meta_mapg_two_phase,meta_mapg,two_phase,61,0.997090216543732,0.9960970221102163,0.0006622853700207875,1,0.08134738151212192
meta_mapg_two_phase,meta_mapg,two_phase,62,0.997034333386652,0.9960468317947352,0.0006960067303514028,1,0.08134738151212192
meta_mapg_two_phase,meta_mapg,two_phase,63,0.997249367984126,0.996483168098349,0.0005847439585193004,1,0.08134738151212192
meta_mapg_two_phase,meta_mapg,two_phase,64,0.9970634145535663,0.9962540746976111,0.0005516854216140599,1,0.08134738151212192
meta_mapg_two_phase,meta_mapg,two_phase,65,0.0013660119766985654,0.0017656729660462766,0.0002839168294761445,0,0.08134738151212192
meta_mapg_two_phase,meta_mapg,two_phase,66,0.0013759620124127452,0.0017826478760906272,0.0002893665952502671,0,0.08134738151212192
meta_mapg_two_phase,meta_mapg,two_phase,67,0.0013709347225906263,0.0017718366941794962,0.0002839200276547246,0,0.08134738151212192
meta_mapg_two_phase,meta_mapg,two_phase,68,0.9970540072036878,0.9962694582312902,0.0005692300894010457,1,0.08134738151212192
meta_mapg_two_phase,meta_mapg,two_phase,69,0.9971181433261669,0.9961514163036292,0.0007067805784237945,1,0.08134738151212192
meta_mapg_two_phase,meta_mapg,two_phase,70,0.001386692796971142,0.0018012984267722317,0.000295553466253297,0,0.08134738151212192
meta_mapg_two_phase,meta_mapg,two_phase,71,0.0013607261044416533,0.0017565334870282229,0.00028088662945530894,0,0.08134738151212192
meta_mapg_two_phase,meta_mapg,two_phase,72,0.9971506110693567,0.9960448755250004,0.000796544483776817,1,0.08134738151212192
meta_mapg_two_phase,meta_mapg,two_phase,73,0.0013311007941239732,0.0017044321625725536,0.0002625282367871014,0,0.08134738151212192
meta_mapg_two_phase,meta_mapg,two_phase,74,0.9969430076361395,0.9957608725982999,0.0008212857267628485,1,0.08134738151212192
meta_mapg_two_phase,meta_mapg,two_phase,75,0.0013916739719894305,0.0018077877009352416,0.0002957463043079345,0,0.08134738151212192
meta_mapg_two_phase,meta_mapg,two_phase,76,0.0013916667004316363,0.0018029972713325864,0.0002927244724253096,0,0.08134738151212192
meta_mapg_two_phase,meta_mapg,two_phase,77,0.0013586900329333816,0.0017497080377110992,0.0002770341206535507,0,0.08134738151212192
meta_mapg_two_phase,meta_mapg,two_phase,78,0.0013669336206487686,0.0017639750553537466,0.00028162204130556556,0,0.08134738151212192
