experiment,game,method,seed,success,final_reward_mean,final_coop_min,final_coop_mean
ablation,stag_hunt,meta_pg,16,0,1.9925043378104266,0.00756531844918073,0.007672216632056483
ablation,stag_hunt,meta_pg,17,0,1.9923989010942493,0.007703620378857844,0.007782795832399633
ablation,stag_hunt,meta_pg,18,0,1.9919111750707081,0.008262396401981361,0.008295255480599907
ablation,stag_hunt,meta_pg,19,0,1.9928507851345152,0.0072815333647509375,0.007309498839118885
ablation,stag_hunt,meta_pg,20,0,1.9924361123735954,0.007696287605443383,0.007743779209377992
ablation,stag_hunt,meta_pg,21,1,3.9045531696367624,0.9804238253336212,0.9806868774229887
ablation,stag_hunt,meta_pg,22,1,3.8815223969233696,0.9757628349710811,0.9759576823409204
ablation,stag_hunt,meta_pg,23,0,1.9926168433475988,0.007477403882121248,0.007554343196833346
ablation,stag_hunt,meta_pg,24,0,1.9920886220040233,0.008076072886204188,0.008108624175264634
ablation,stag_hunt,meta_pg,25,0,1.9924075772087741,0.0077647637982628265,0.007773714460419159
ablation,stag_hunt,meta_pg,26,0,1.99248859096485,0.0076735872047270295,0.007688759408277963
ablation,stag_hunt,meta_pg,27,0,1.9922110104596231,0.007926516011172842,0.007980023265239273
ablation,stag_hunt,meta_pg,28,0,1.991507301255348,0.008706087080532535,0.008720858192959886
ablation,stag_hunt,meta_pg,29,1,3.9219819311527573,0.9839379779997304,0.98424756011786
ablation,stag_hunt,meta_pg,30,0,1.9930277973340207,0.00706909919316791,0.007124467584072712
ablation,stag_hunt,meta_pg,31,0,1.992389375050021,0.007755073365688028,0.007792804064736026
ablation,stag_hunt,meta_pg,32,0,1.9922515318294227,0.007899422678324733,0.007937474322663021
ablation,stag_hunt,meta_pg,33,1,3.899597832303569,0.9788224057444145,0.9796720646392375
ablation,stag_hunt,meta_pg,34,1,3.9236392220571332,0.9836575302150848,0.9845858029430345
ablation,stag_hunt,meta_pg,35,0,1.9923554435443447,0.007786397868229478,0.007828402835256702
ablation,stag_hunt,meta_pg,36,0,1.992591279772139,0.00753975035859503,0.007581135956741652
ablation,stag_hunt,meta_pg,37,0,1.9911386902740063,0.009106617849843446,0.009110302521354975
ablation,stag_hunt,meta_pg,38,0,1.9926299101719664,0.007375078635938284,0.007540589098762681
ablation,stag_hunt,meta_pg,39,0,1.9917138586076224,0.00849168848275901,0.008503046399591655
ablation,stag_hunt,meta_pg,40,0,1.9864387637682404,0.014149605846823279,0.01416300808712783
ablation,stag_hunt,meta_pg,41,0,1.9932683898256671,0.006820494557501726,0.006873329786719524
ablation,stag_hunt,meta_pg,42,0,1.9933106700137095,0.006717454034606901,0.006829206713306271
ablation,stag_hunt,meta_pg,43,0,1.992804032764564,0.007344675853091007,0.0073584050443544005
ablation,stag_hunt,meta_pg,44,0,1.9929675339462496,0.007160401206799965,0.0071874418199098285
ablation,stag_hunt,meta_pg,45,0,1.9927280149332445,0.007414405375736257,0.007437952830221835
ablation,stag_hunt,meta_pg,46,0,1.9910887963517592,0.009155572873296151,0.009163090141538625
ablation,stag_hunt,meta_pg,47,0,1.991951732628976,0.008238530334320954,0.008252582113275404
ablation,stag_hunt,meta_pg,48,0,1.993068862713001,0.006923902522354553,0.007081505950039035
ablation,stag_hunt,meta_pg,49,1,3.9317554427368178,0.9858893256687866,0.9862375177392071
ablation,stag_hunt,meta_pg,50,0,1.9926818830384172,0.007477279712979706,0.007486248468670885
ablation,stag_hunt,meta_pg,51,0,1.9926289015603225,0.007499302502395029,0.007541725930466628
ablation,stag_hunt,meta_pg,52,0,1.9933438040890792,0.006776149891954542,0.006794698668746817
ablation,stag_hunt,meta_pg,53,0,1.9923201295988957,0.007850760133263163,0.007865466439196469
ablation,stag_hunt,meta_pg,54,0,1.992897070614441,0.007248579922561276,0.007261099618332801
ablation,stag_hunt,meta_pg,55,0,1.9925254935225105,0.007550117939807527,0.007650046138309789
ablation,stag_hunt,meta_pg,56,0,1.9935566939759903,0.00632596104988971,0.006572725507716233
ablation,stag_hunt,meta_pg,57,1,3.9313985508248814,0.9856560955597212,0.9861650215918679
ablation,stag_hunt,meta_pg,58,1,3.9067137217182633,0.9809926127271,0.9811290887440977
ablation,stag_hunt,meta_pg,59,1,3.8849420991591934,0.9760538726517916,0.9766618397725699
ablation,stag_hunt,meta_pg,60,0,1.9931763310200439,0.00676059907350443,0.006969249698798427
ablation,stag_hunt,meta_pg,61,1,3.935237064108691,0.9857042799518534,0.9869460954304412
ablation,stag_hunt,meta_pg,62,0,1.9934571714246518,0.006271797216221735,0.006676047137497846
ablation,stag_hunt,meta_pg,63,1,3.924878835764586,0.9835181457492067,0.9848388983841063
